id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_master
79,110082,480,seed_data,seed_data,1696090682244540,1696090682244540,018b05dd-2983-7809-a2d1-95b3f1776eb3
80,110083,487,seed_data,seed_data,1696090682244568,1696090682244568,018b05dd-2983-7809-a2d1-95b3f1776eb3
81,110084,109,seed_data,seed_data,1696090682244596,1696090682244596,018b05dd-2983-7809-a2d1-95b3f1776eb3
82,110085,487,seed_data,seed_data,1696090682244604,1696090682244604,018b05dd-2983-7809-a2d1-95b3f1776eb3
83,110086,487,seed_data,seed_data,1696090682244632,1696090682244632,018b05dd-2983-7809-a2d1-95b3f1776eb3
84,110087,713,seed_data,seed_data,1696090682244660,1696090682244660,018b05dd-2983-7809-a2d1-95b3f1776eb3
85,110088,480,seed_data,seed_data,1696090682244694,1696090682244694,018b05dd-2983-7809-a2d1-95b3f1776eb3
86,110089,487,seed_data,seed_data,1696090682244723,1696090682244723,018b05dd-2983-7809-a2d1-95b3f1776eb3
87,110090,483,seed_data,seed_data,1696090682244750,1696090682244750,018b05dd-2983-7809-a2d1-95b3f1776eb3
88,110091,184,seed_data,seed_data,1696090682244777,1696090682244777,018b05dd-2983-7809-a2d1-95b3f1776eb3
89,110092,184,seed_data,seed_data,1696090682244787,1696090682244787,018b05dd-2983-7809-a2d1-95b3f1776eb3
90,110093,483,seed_data,seed_data,1696090682244797,1696090682244797,018b05dd-2983-7809-a2d1-95b3f1776eb3
91,110094,483,seed_data,seed_data,1696090682244824,1696090682244824,018b05dd-2983-7809-a2d1-95b3f1776eb3
92,110095,591,seed_data,seed_data,1696090682244851,1696090682244851,018b05dd-2983-7809-a2d1-95b3f1776eb3
93,110096,184,seed_data,seed_data,1696090682244891,1696090682244891,018b05dd-2983-7809-a2d1-95b3f1776eb3
94,110097,636,seed_data,seed_data,1696090682244902,1696090682244902,018b05dd-2983-7809-a2d1-95b3f1776eb3
95,110099,487,seed_data,seed_data,1696090682244938,1696090682244938,018b05dd-2983-7809-a2d1-95b3f1776eb3
96,110110,487,seed_data,seed_data,1696090682244966,1696090682244966,018b05dd-2983-7809-a2d1-95b3f1776eb3
97,121001,198,seed_data,seed_data,1696090682244993,1696090682244993,018b05dd-2983-7809-a2d1-95b3f1776eb3
98,121002,198,seed_data,seed_data,1696090682245007,1696090682245007,018b05dd-2983-7809-a2d1-95b3f1776eb3
99,121003,198,seed_data,seed_data,1696090682245020,1696090682245020,018b05dd-2983-7809-a2d1-95b3f1776eb3
100,121004,198,seed_data,seed_data,1696090682245034,1696090682245034,018b05dd-2983-7809-a2d1-95b3f1776eb3
101,121005,198,seed_data,seed_data,1696090682245047,1696090682245047,018b05dd-2983-7809-a2d1-95b3f1776eb3
102,121006,198,seed_data,seed_data,1696090682245061,1696090682245061,018b05dd-2983-7809-a2d1-95b3f1776eb3
103,121007,198,seed_data,seed_data,1696090682245074,1696090682245074,018b05dd-2983-7809-a2d1-95b3f1776eb3
104,121008,198,seed_data,seed_data,1696090682245088,1696090682245088,018b05dd-2983-7809-a2d1-95b3f1776eb3
