id,city_name,state_id,created_by,updated_by,created_at,updated_at,country_id
102,BUDGAM,12,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239267,1696090682239267,018b05dd-2983-7809-a2d1-95b3f1776eb3
103,BULANDSHAHR,33,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239269,1696090682239269,018b05dd-2983-7809-a2d1-95b3f1776eb3
104,BULDHANA,19,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239272,1696090682239272,018b05dd-2983-7809-a2d1-95b3f1776eb3
105,BUNDI,27,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239275,1696090682239275,018b05dd-2983-7809-a2d1-95b3f1776eb3
106,BURHANPUR,18,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239278,1696090682239278,018b05dd-2983-7809-a2d1-95b3f1776eb3
107,BUXAR,4,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239281,1696090682239281,018b05dd-2983-7809-a2d1-95b3f1776eb3
108,CACHAR,3,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239282,1696090682239282,018b05dd-2983-7809-a2d1-95b3f1776eb3
109,CENTRAL,7,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239284,1696090682239284,018b05dd-2983-7809-a2d1-95b3f1776eb3
110,CHAMARAJANAGARA,14,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239288,1696090682239288,018b05dd-2983-7809-a2d1-95b3f1776eb3
111,CHAMBA,11,018b3444-dc75-7a3f-a4d9-02c41071d3bd,018b3444-dc75-7a3f-a4d9-02c41071d3bd,1696090682239291,1696090682239291,018b05dd-2983-7809-a2d1-95b3f1776eb3
